Title,The_Atlas_of_Lost_Worlds,gpt-5.5
Author,Barış Kısır,gpt-5.5
Language,en,gpt-5.5
Chapters,50,gpt-5.5
Word Count,28820,gpt-5.5
TXT,The_Atlas_of_Lost_Worlds/txt/The_Atlas_of_Lost_Worlds.txt,gpt-5.5
EPUB,The_Atlas_of_Lost_Worlds/epub/The_Atlas_of_Lost_Worlds.epub,gpt-5.5
Cover,The_Atlas_of_Lost_Worlds/covers/The_Atlas_of_Lost_Worlds.png,gpt-5.5
Outline,The_Atlas_of_Lost_Worlds/planning/The_Atlas_of_Lost_Worlds_outline.md,gpt-5.5
Metadata,The_Atlas_of_Lost_Worlds/metadata/The_Atlas_of_Lost_Worlds_metadata.json,gpt-5.5
