file,path,size_bytes,notes
outline,planning/The_Blue_Ridge_Covenant_outline.md,,50-chapter outline with premise and cast
manuscript,txt/The_Blue_Ridge_Covenant.txt,123127,Full manuscript 50 chapters
epub,epub/The_Blue_Ridge_Covenant.epub,368765,EPUB 3 ebook
cover,covers/The_Blue_Ridge_Covenant.png,193088,Cover image 1600x2560
metadata,metadata/The_Blue_Ridge_Covenant_metadata.json,,Production metadata
build_script,tools/build_epub.py,,EPUB build script
cover_script,tools/create_cover.py,,Cover generation script
readme,README.md,,Per-book README
final_report,reports/final_report.md,,Production summary
manifest,reports/manifest.csv,,This file
progress,reports/progress.md,,Progress tracking
