Title,The Clockmaker's War,model
Author,Barış Kısır,deepseek-v4-flash
Genre,Militaristic Fantasy,deepseek-v4-flash
Subgenre,Steampunk Rebellion,deepseek-v4-flash
Language,en,deepseek-v4-flash
Chapters,50,deepseek-v4-flash
Word Count,15649,deepseek-v4-flash
TXT,The_Clockmakers_War/txt/The_Clockmakers_War.txt,deepseek-v4-flash
EPUB,The_Clockmakers_War/epub/The_Clockmakers_War.epub,deepseek-v4-flash
Cover,The_Clockmakers_War/covers/The_Clockmakers_War.png,deepseek-v4-flash
Outline,The_Clockmakers_War/planning/The_Clockmakers_War_outline.md,deepseek-v4-flash
Metadata,The_Clockmakers_War/metadata/The_Clockmakers_War_metadata.json,deepseek-v4-flash
