Title,The Marigold Express,model
Author,Barış Kısır,deepseek-v4-flash
Genre,Comic crime,deepseek-v4-flash
Subgenre,Ensemble heist caper,deepseek-v4-flash
Language,en,deepseek-v4-flash
Chapters,50,deepseek-v4-flash
Word Count,21460,deepseek-v4-flash
TXT,The_Marigold_Express/txt/The_Marigold_Express.txt,deepseek-v4-flash
EPUB,The_Marigold_Express/epub/The_Marigold_Express.epub,deepseek-v4-flash
Cover,The_Marigold_Express/covers/The_Marigold_Express.png,deepseek-v4-flash
Outline,The_Marigold_Express/planning/The_Marigold_Express_outline.md,deepseek-v4-flash
Metadata,The_Marigold_Express/metadata/The_Marigold_Express_metadata.json,deepseek-v4-flash
