Title,The_Rainmakers_Ledger,gpt-5.5
Author,Barış Kısır,gpt-5.5
Language,en,gpt-5.5
Chapters,50,gpt-5.5
Word Count,24206,gpt-5.5
TXT,The_Rainmakers_Ledger/txt/The_Rainmakers_Ledger.txt,gpt-5.5
EPUB,The_Rainmakers_Ledger/epub/The_Rainmakers_Ledger.epub,gpt-5.5
Cover,The_Rainmakers_Ledger/covers/The_Rainmakers_Ledger.png,gpt-5.5
Outline,The_Rainmakers_Ledger/planning/The_Rainmakers_Ledger_outline.md,gpt-5.5
Metadata,The_Rainmakers_Ledger/metadata/The_Rainmakers_Ledger_metadata.json,gpt-5.5
