Title,The Wintering,model
Author,Barış Kısır,deepseek-v4-flash
Genre,Literary fiction,deepseek-v4-flash
Subgenre,Historical survival / Psychological fiction,deepseek-v4-flash
Language,en,deepseek-v4-flash
Chapters,50,deepseek-v4-flash
Word Count,11140,deepseek-v4-flash
TXT,The_Wintering/txt/The_Wintering.txt,deepseek-v4-flash
EPUB,The_Wintering/epub/The_Wintering.epub,deepseek-v4-flash
Cover,The_Wintering/covers/The_Wintering.png,deepseek-v4-flash
Outline,The_Wintering/planning/The_Wintering_outline.md,deepseek-v4-flash
Metadata,The_Wintering/metadata/The_Wintering_metadata.json,deepseek-v4-flash
